Date,Division,Home Team,H,A,Away Team,Referee,Location,Tournament,Played,Reason
7-Feb,9.5 Boys Sat,Belmont FC,,,Celbridge Town AFC,,Herbert Park,League,Y,
7-Feb,9.9 Boys Sat,Belmont FC,,,Knocklyon United FC,,Herbert Park,League,Y,
14-Feb,10.4 Boys Sat,Maynooth Town FC,,,Belmont FC,,,League,N,Belmont FC
14-Feb,10.6 Boys Sat,Leicester Celtic FC,,,Belmont FC,,,League,Y,
14-Feb,10.9 Boys Sat,Belmont FC,,,Granada FC,,Herbert Park,League,Y,
14-Feb,11.6 Boys Sat,Arthur Griffith Park FC,,,Belmont FC,,,League,N,Belmont FC
14-Feb,11.6/7 Boys Saturday Subsidary Cup,Belmont FC,3,3,Firhouse Carmel FC,Amine Malek,Wanderers,Cup,Y,
14-Feb,11.9 Boys Sat,Swords Celtic FC,,,Belmont FC,,,League,N,Opposition
14-Feb,12.6 Boys Sat,Montpelier FC,4,8,Belmont FC,,,League,Y,
Opposition
14-Mar,13.6/7/8 Boys Donie Harmon Cup (13.6,Granada FC,3,2,Belmont FC,Jamie Keating,,Cup,Y,
14-Mar,13.7 Boys Sat,Verona FC,2,3,Belmont FC,Kyle Smith,,League,Y,
14-Mar,8.6 Friendly,Finglas Utd,,,Belmont FC,,,League,N,Opposition
14-Mar,8.8 Boys Sat,Belmont FC,,,Inchicore Athletic FC,,,League,Y,
14-Mar,9.5 Boys Sat,Maynooth,,,Belmont FC,,,League,Y,
14-Mar,9.9 Boys Sat,Belmont FC,,,Sacred Heart FC,,,League,Y,
21-Mar,10.4 Boys Sat,St Joseph's AFC,0,0,Belmont FC,,"Pearse Park, Sallynoggin",League,Y,
21-Mar,10.6 Boys Sat,Belmont FC,3,3,Greystones United AFC,,Herbert Park,League,Y,
21-Mar,10.9 Boys Sat,Hartstown / Huntstown FC,3,7,Belmont FC,,Herbert Park,League,Y,
21-Mar,11.6/7 Cup Boys Sat,Home Farm FC,2,5,Belmont FC,,Herbert Park,Cup,Y,
21-Mar,11.7 Boys Sat,Belmont FC,8,2,Leicester Celtic FC,,Herbert Park,League,Y,
21-Mar,11.9 Boys Sat,Belmont FC,4,2,Cabinteely FC,,Herbert Park,League,Y,
21-Mar,12.3 Boys Sat,Sporting Greystones FC,1,1,Belmont FC,Ruben Kenny,Dr Ryan Park,League,Y,
21-Mar,12.6 Boys Sat,Wayside Celtic FC,0,1,Belmont FC,Oscar Caballero,Jackson Park,League,Y,
21-Mar,12.8 Boys Sat,Belmont FC,1,0,Verona FC,James Merriman,Herbert Park,League,Y,
21-Mar,13.2 Boys Sat,Belmont FC,0,2,St Mochtas FC,James Merriman,Herbert Park,League,Y,
21-Mar,13.8 Boys Sat,Dunboyne FC,7,6,Belmont FC,Calum Gray,Summerhill Road,League,Y,
21-Mar,8.6 Boys Sat,Belmont FC,,,Terenure Rangers FC,,Herbert Park,League,Y,
21-Mar,8.8 Boys Sat,Belmont FC,,,Leixlip United AFC,,Herbert Park,League,Y,
21-Mar,9.5 Boys Sat,Belmont FC,,,Esker Celtic FC,,Herbert Park,League,Y,
21-Mar,9.9 Boys Sat,Enniskerry FC,,,Belmont FC,,The Bog Meadow,League,Y,
28-Mar,10.4 Boys Sat,Belmont FC,3,2,Sacred Heart FC,,Herbert Park,League,Y,
28-Mar,10.6 Boys Sat,Belmont FC,12,9,Ardmore Rovers FC,,Herbert Park,League,Y,
28-Mar,10.9 Boys Sat,Belmont FC,,,AFC Belgrave,,Herbert Park,League,N,Opposition
28-Mar,11.6 Boys Sat,Ballyoulster United FC,0,1,Belmont FC,,Loughlinstown Road,League,Y,
